Source.Name,Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO-2014S-CHEM.csv,UBCO,2014,S,CHEM,203,,001,Introduction to Organic Chemistry,Leonard Lermer,19,65.05263158,12.95064857,86,38,,,5,,,,,,,,0
UBCO-2014S-CHEM.csv,UBCO,2014,S,CHEM,203,,OVERALL,Introduction to Organic Chemistry,,19,65.05263158,12.95064857,86,38,,,5,,,,,,,,0
UBCO-2014S-CHEM.csv,UBCO,2014,S,CHEM,204,,001,Organic Chemistry,Leonard Lermer;Sandra Mecklenburg,15,56.86666667,16.92363802,86,31,,6,,,,,,,,,0
UBCO-2014S-CHEM.csv,UBCO,2014,S,CHEM,204,,OVERALL,Organic Chemistry,,15,56.86666667,16.92363802,86,31,,6,,,,,,,,,0
UBCO-2014S-CHEM.csv,UBCO,2014,S,CHEM,213,,001,Organic Chemistry for Biological Sciences I,Eric Dennis,44,70.68181818,13.88285328,99,41,,,5,,,9,,6,6,,
UBCO-2014S-CHEM.csv,UBCO,2014,S,CHEM,213,,OVERALL,Organic Chemistry for Biological Sciences I,,44,70.68181818,13.88285328,99,41,,,5,,,9,,6,6,,
UBCO-2014S-CHEM.csv,UBCO,2014,S,CHEM,214,,001,Organic Chemistry for Biological Sciences II,Eric Dennis,57,66.22807018,15.20222909,100,25,7,,10,6,,7,6,,10,,
UBCO-2014S-CHEM.csv,UBCO,2014,S,CHEM,214,,OVERALL,Organic Chemistry for Biological Sciences II,,57,66.22807018,15.20222909,100,25,7,,10,6,,7,6,,10,,
UBCO-2014S-COSC.csv,UBCO,2014,S,COSC,111,,001,Computer Programming I,James Yu,49,71.14285714,19.94575978,95,11,9,,,,,,7,6,10,,6
UBCO-2014S-COSC.csv,UBCO,2014,S,COSC,111,,OVERALL,Computer Programming I,,49,71.14285714,19.94575978,95,11,9,,,,,,7,6,10,,6
UBCO-2014S-COSC.csv,UBCO,2014,S,COSC,121,,001,Computer Programming II,James Yu,32,66.46875,15.65347406,89,28,5,,,,,,,,,5,0
UBCO-2014S-COSC.csv,UBCO,2014,S,COSC,121,,OVERALL,Computer Programming II,,32,66.46875,15.65347406,89,28,5,,,,,,,,,5,0
UBCO-2014S-CRWR.csv,UBCO,2014,S,CRWR,150,,001,Introduction to Writing Poetry and Non-Fiction,Sonnet L'Abbe,12,72,15.97725656,86,32,,,,,,,,,5,,0
UBCO-2014S-CRWR.csv,UBCO,2014,S,CRWR,150,,OVERALL,Introduction to Writing Poetry and Non-Fiction,,12,72,15.97725656,86,32,,,,,,,,,5,,0
UBCO-2014S-CRWR.csv,UBCO,2014,S,CRWR,160,,001,Introduction to Writing Fiction and Drama,Sonnet L'Abbe,15,70.73333333,17.77826388,91,18,,,,,,,,,,,
UBCO-2014S-CRWR.csv,UBCO,2014,S,CRWR,160,,OVERALL,Introduction to Writing Fiction and Drama,,15,70.73333333,17.77826388,91,18,,,,,,,,,,,
UBCO-2014S-CUST.csv,UBCO,2014,S,CUST,563,,001,Conceptualizing Curriculum Studies: Theory and Research,,20,90.25,5.590169944,97,75,0,0,0,0,0,0,,,,8,10
UBCO-2014S-CUST.csv,UBCO,2014,S,CUST,563,,OVERALL,Conceptualizing Curriculum Studies: Theory and Research,,20,90.25,5.590169944,97,75,0,0,0,0,0,0,,,,8,10
UBCO-2014S-EAP.csv,UBCO,2014,S,EAP,104,,001,English for Academic Purposes Level IV,Crystal Nykilchuk;Jeanie Ortis,10,75.5,11.7686023,90,58,0,0,,,,,,,,,
UBCO-2014S-EAP.csv,UBCO,2014,S,EAP,104,,OVERALL,English for Academic Purposes Level IV,,10,75.5,11.7686023,90,58,0,0,,,,,,,,,
UBCO-2014S-ECON.csv,UBCO,2014,S,ECON,101,,001,Principles of Microeconomics,Noriko Ozawa,22,73.45454546,16.78640968,95,20,,,,,,,,,,,
UBCO-2014S-ECON.csv,UBCO,2014,S,ECON,101,,OVERALL,Principles of Microeconomics,,22,73.45454546,16.78640968,95,20,,,,,,,,,,,
UBCO-2014S-ECON.csv,UBCO,2014,S,ECON,102,,001,Principles of Macroeconomics,Tazul Islam,25,69.2,14.49425173,90,36,,5,,,,,,,,,
UBCO-2014S-ECON.csv,UBCO,2014,S,ECON,102,,OVERALL,Principles of Macroeconomics,,25,69.2,14.49425173,90,36,,5,,,,,,,,,
UBCO-2014S-ECON.csv,UBCO,2014,S,ECON,261,,001,Economics of Developing Countries,Fabienne Gouba,30,69.86666667,9.175429458,96,55,0,0,,,7,5,,5,,,
UBCO-2014S-ECON.csv,UBCO,2014,S,ECON,261,,OVERALL,Economics of Developing Countries,,30,69.86666667,9.175429458,96,55,0,0,,,7,5,,5,,,
UBCO-2014S-ECON.csv,UBCO,2014,S,ECON,295,,001,Managerial Economics,Tazul Islam,16,63.9375,23.28796184,96,4,,,,,,,,,,,
UBCO-2014S-ECON.csv,UBCO,2014,S,ECON,295,,OVERALL,Managerial Economics,,16,63.9375,23.28796184,96,4,,,,,,,,,,,
UBCO-2014S-ECON.csv,UBCO,2014,S,ECON,361,,001,Economics of Industrial Relations,Julien Picault,32,63.6875,14.4923506,90,25,,,7,6,6,,,,,,
UBCO-2014S-ECON.csv,UBCO,2014,S,ECON,361,,OVERALL,Economics of Industrial Relations,,32,63.6875,14.4923506,90,25,,,7,6,6,,,,,,
UBCO-2014S-EDUC.csv,UBCO,2014,S,EDUC,500,,001,Research Methodology in Education Part I,Carol Scarff,25,90.56,2.161789382,95,87,0,0,0,0,0,0,0,0,0,6,19
UBCO-2014S-EDUC.csv,UBCO,2014,S,EDUC,500,,OVERALL,Research Methodology in Education Part I,,25,90.56,2.161789382,95,87,0,0,0,0,0,0,0,0,0,6,19
UBCO-2014S-EDUC.csv,UBCO,2014,S,EDUC,521,,001,Readings and Discourse in Education,Christopher Martin,24,88,3.16227766,94,82,0,0,0,0,0,0,0,0,4,12,8
UBCO-2014S-EDUC.csv,UBCO,2014,S,EDUC,521,,OVERALL,Readings and Discourse in Education,,24,88,3.16227766,94,82,0,0,0,0,0,0,0,0,4,12,8
UBCO-2014S-EDUC.csv,UBCO,2014,S,EDUC,523,,001,Assessment for Learning,L Mccoubrey,21,88.0952381,4.060846733,95,82,0,0,0,0,0,0,0,0,4,9,8
UBCO-2014S-EDUC.csv,UBCO,2014,S,EDUC,523,,OVERALL,Assessment for Learning,,21,88.0952381,4.060846733,95,82,0,0,0,0,0,0,0,0,4,9,8
UBCO-2014S-EDUC.csv,UBCO,2014,S,EDUC,524,,001,Language Teaching and Learning,Scott Douglas,6,91.83333333,1.834847859,95,90,0,0,0,0,0,0,0,0,0,0,6
UBCO-2014S-EDUC.csv,UBCO,2014,S,EDUC,524,,OVERALL,Language Teaching and Learning,,6,91.83333333,1.834847859,95,90,0,0,0,0,0,0,0,0,0,0,6
UBCO-2014S-EESC.csv,UBCO,2014,S,EESC,335,,001,Field Techniques,Jim Bowers,17,79.23529412,6.339651132,90,69,0,0,0,0,0,,,,,,
UBCO-2014S-EESC.csv,UBCO,2014,S,EESC,335,,OVERALL,Field Techniques,,17,79.23529412,6.339651132,90,69,0,0,0,0,0,,,,,,
UBCO-2014S-EESC.csv,UBCO,2014,S,EESC,435,,001,Applied Fluvial Geomorphology Field Techniques,Leif Burge,20,77.3,4.117996447,86,68,0,0,0,0,0,,,10,,,0
UBCO-2014S-EESC.csv,UBCO,2014,S,EESC,435,,OVERALL,Applied Fluvial Geomorphology Field Techniques,,20,77.3,4.117996447,86,68,0,0,0,0,0,,,10,,,0
UBCO-2014S-ENGL.csv,UBCO,2014,S,ENGL,112,,001,Strategies for University Writing,Jennifer Payson,27,74,6.667948595,85,56,0,0,,,,7,7,,7,,0
UBCO-2014S-ENGL.csv,UBCO,2014,S,ENGL,112,,002,Strategies for University Writing,Lainie Senger,35,86.97142857,5.93338369,97,68,0,0,0,0,0,,0,,6,9,15
UBCO-2014S-ENGL.csv,UBCO,2014,S,ENGL,112,,003,Strategies for University Writing,Jon Vickery,29,70.20689655,14.430571,89,3,,,,,,,14,,3,,0
UBCO-2014S-ENGL.csv,UBCO,2014,S,ENGL,112,,OVERALL,Strategies for University Writing,,91,77.78021978,12.10583165,97,3,,,,,,12,21,7,16,11,15
UBCO-2014S-ENGL.csv,UBCO,2014,S,ENGL,151,,001,Readings in Short Fiction and the Novel,Natasha Rebry,29,59.72413793,23.9432313,88,0,5,,,,,,,5,,,0
UBCO-2014S-ENGL.csv,UBCO,2014,S,ENGL,151,,OVERALL,Readings in Short Fiction and the Novel,,29,59.72413793,23.9432313,88,0,5,,,,,,,5,,,0
UBCO-2014S-ENGL.csv,UBCO,2014,S,ENGL,153,,001,Readings in Narrative,Jennifer Payson,29,75.03448276,8.993977186,87,54,0,,,,,,,,12,,0
UBCO-2014S-ENGL.csv,UBCO,2014,S,ENGL,153,,OVERALL,Readings in Narrative,,29,75.03448276,8.993977186,87,54,0,,,,,,,,12,,0
UBCO-2014S-ENGL.csv,UBCO,2014,S,ENGL,470,J,001,Canadian Studies,Karis Shearer,9,86.22222222,7.276293318,94,70,0,0,0,0,0,,,,,,
UBCO-2014S-ENGL.csv,UBCO,2014,S,ENGL,470,J,OVERALL,Canadian Studies,,9,86.22222222,7.276293318,94,70,0,0,0,0,0,,,,,,
UBCO-2014S-ENGL.csv,UBCO,2014,S,ENGL,472,C,001,American Studies,Paul Milton,33,70.18181818,18.88526963,88,0,,,,,,,7,8,5,,0
UBCO-2014S-ENGL.csv,UBCO,2014,S,ENGL,472,C,OVERALL,American Studies,,33,70.18181818,18.88526963,88,0,,,,,,,7,8,5,,0
UBCO-2014S-EPSE.csv,UBCO,2014,S,EPSE,565,A,001,Special Topics in Inclusive Education,John Binfet,7,73.85714286,32.72322606,91,0,,,,,,,,,,,
UBCO-2014S-EPSE.csv,UBCO,2014,S,EPSE,565,A,OVERALL,Special Topics in Inclusive Education,,7,73.85714286,32.72322606,91,0,,,,,,,,,,,
UBCO-2014S-FREN.csv,UBCO,2014,S,FREN,103,,001,Beginner's French II,Milka Beck,19,75.05263158,12.33096231,97,52,0,,,,,,,,,,
UBCO-2014S-FREN.csv,UBCO,2014,S,FREN,103,,OVERALL,Beginner's French II,,19,75.05263158,12.33096231,97,52,0,,,,,,,,,,
UBCO-2014S-FREN.csv,UBCO,2014,S,FREN,104,,001,Beginner's French III,Milka Beck,36,72.52777778,10.97916497,95,56,0,0,,6,,,5,5,,,
UBCO-2014S-FREN.csv,UBCO,2014,S,FREN,104,,OVERALL,Beginner's French III,,36,72.52777778,10.97916497,95,56,0,0,,6,,,5,5,,,
UBCO-2014S-GEOG.csv,UBCO,2014,S,GEOG,108,,001,Introduction to Physical Geography I,Natasha Neumann,19,69.52631579,16.60444526,93,30,,,5,,,,,,,,
UBCO-2014S-GEOG.csv,UBCO,2014,S,GEOG,108,,OVERALL,Introduction to Physical Geography I,,19,69.52631579,16.60444526,93,30,,,5,,,,,,,,
UBCO-2014S-GEOG.csv,UBCO,2014,S,GEOG,413,,001,Mountain Environments,Fes Alexander De Scally,11,90.45454546,5.5202108,98,76,0,0,0,0,0,0,0,,,,9
UBCO-2014S-GEOG.csv,UBCO,2014,S,GEOG,413,,OVERALL,Mountain Environments,,11,90.45454546,5.5202108,98,76,0,0,0,0,0,0,0,,,,9
UBCO-2014S-GEOG.csv,UBCO,2014,S,GEOG,491,C,001,Selected Topics in Geography,Donna Senese,15,86.6,7.509993342,95,67,0,0,0,0,,,,,,,8
UBCO-2014S-GEOG.csv,UBCO,2014,S,GEOG,491,C,OVERALL,Selected Topics in Geography,,15,86.6,7.509993342,95,67,0,0,0,0,,,,,,,8
UBCO-2014S-GEOG.csv,UBCO,2014,S,GEOG,491,D,001,Selected Topics in Geography,Fes Alexander De Scally,11,90.36363636,4.965334375,99,79,0,0,0,0,0,0,0,,,,7
UBCO-2014S-GEOG.csv,UBCO,2014,S,GEOG,491,D,OVERALL,Selected Topics in Geography,,11,90.36363636,4.965334375,99,79,0,0,0,0,0,0,0,,,,7
